spot,low,high,blocks,volBps,refBlocks,houseEdgeBps,multiplierBps,prob1e6
10000000000000,9999000000000,10001000000000,10,12,100,400,46280,207430
10000000000000,9999000000000,10003000000000,10,12,100,400,24733,388126
10000000000000,9999000000000,10008000000000,10,12,100,400,16394,585524
10000000000000,9999000000000,10021000000000,10,12,100,400,15901,603683
10000000000000,9999000000000,10055000000000,10,12,100,400,15901,603683
10000000000000,9999000000000,10144000000000,10,12,100,400,15901,603683
10000000000000,9997000000000,10001000000000,10,12,100,400,24733,388126
10000000000000,9997000000000,10003000000000,10,12,100,400,16876,568823
10000000000000,9997000000000,10008000000000,10,12,100,400,12528,766221
10000000000000,9997000000000,10021000000000,10,12,100,400,12238,784380
10000000000000,9997000000000,10055000000000,10,12,100,400,12238,784380
10000000000000,9997000000000,10144000000000,10,12,100,400,12238,784380
10000000000000,9992000000000,10001000000000,10,12,100,400,16394,585524
10000000000000,9992000000000,10003000000000,10,12,100,400,12528,766221
10000000000000,9992000000000,10008000000000,10,12,100,400,9961,963619
10000000000000,9992000000000,10021000000000,10,12,100,400,9777,981778
10000000000000,9992000000000,10055000000000,10,12,100,400,9777,981778
10000000000000,9992000000000,10144000000000,10,12,100,400,9777,981778
10000000000000,9979000000000,10001000000000,10,12,100,400,15901,603683
10000000000000,9979000000000,10003000000000,10,12,100,400,12238,784380
10000000000000,9979000000000,10008000000000,10,12,100,400,9777,981778
10000000000000,9979000000000,10021000000000,10,12,100,400,9600,999937
10000000000000,9979000000000,10055000000000,10,12,100,400,9600,999937
10000000000000,9979000000000,10144000000000,10,12,100,400,9600,999937
10000000000000,9945000000000,10001000000000,10,12,100,400,15901,603683
10000000000000,9945000000000,10003000000000,10,12,100,400,12238,784380
10000000000000,9945000000000,10008000000000,10,12,100,400,9777,981778
10000000000000,9945000000000,10021000000000,10,12,100,400,9600,999937
10000000000000,9945000000000,10055000000000,10,12,100,400,9600,999937
10000000000000,9945000000000,10144000000000,10,12,100,400,9600,999937
10000000000000,9856000000000,10001000000000,10,12,100,400,15901,603683
10000000000000,9856000000000,10003000000000,10,12,100,400,12238,784380
10000000000000,9856000000000,10008000000000,10,12,100,400,9777,981778
10000000000000,9856000000000,10021000000000,10,12,100,400,9600,999937
10000000000000,9856000000000,10055000000000,10,12,100,400,9600,999937
10000000000000,9856000000000,10144000000000,10,12,100,400,9600,999937
10000000000000,9999000000000,10001000000000,25,12,100,400,72972,131556
10000000000000,9999000000000,10003000000000,25,12,100,400,37319,257240
10000000000000,9999000000000,10008000000000,25,12,100,400,20292,473070
10000000000000,9999000000000,10021000000000,25,12,100,400,16974,565545
10000000000000,9999000000000,10055000000000,25,12,100,400,16968,565746
10000000000000,9999000000000,10144000000000,25,12,100,400,16968,565746
10000000000000,9997000000000,10001000000000,25,12,100,400,37319,257240
10000000000000,9997000000000,10003000000000,25,12,100,400,25069,382925
10000000000000,9997000000000,10008000000000,25,12,100,400,16032,598754
10000000000000,9997000000000,10021000000000,25,12,100,400,13887,691230
10000000000000,9997000000000,10055000000000,25,12,100,400,13883,691431
10000000000000,9997000000000,10144000000000,25,12,100,400,13883,691431
10000000000000,9992000000000,10001000000000,25,12,100,400,20292,473070
10000000000000,9992000000000,10003000000000,25,12,100,400,16032,598754
10000000000000,9992000000000,10008000000000,25,12,100,400,11784,814584
10000000000000,9992000000000,10021000000000,25,12,100,400,10583,907059
10000000000000,9992000000000,10055000000000,25,12,100,400,10581,907260
10000000000000,9992000000000,10144000000000,25,12,100,400,10581,907260
10000000000000,9979000000000,10001000000000,25,12,100,400,16974,565545
10000000000000,9979000000000,10003000000000,25,12,100,400,13887,691230
10000000000000,9979000000000,10008000000000,25,12,100,400,10583,907059
10000000000000,9979000000000,10021000000000,25,12,100,400,9603,999535
10000000000000,9979000000000,10055000000000,25,12,100,400,9601,999736
10000000000000,9979000000000,10144000000000,25,12,100,400,9601,999736
10000000000000,9945000000000,10001000000000,25,12,100,400,16968,565746
10000000000000,9945000000000,10003000000000,25,12,100,400,13883,691431
10000000000000,9945000000000,10008000000000,25,12,100,400,10581,907260
10000000000000,9945000000000,10021000000000,25,12,100,400,9601,999736
10000000000000,9945000000000,10055000000000,25,12,100,400,9600,999937
10000000000000,9945000000000,10144000000000,25,12,100,400,9600,999937
10000000000000,9856000000000,10001000000000,25,12,100,400,16968,565746
10000000000000,9856000000000,10003000000000,25,12,100,400,13883,691431
10000000000000,9856000000000,10008000000000,25,12,100,400,10581,907260
10000000000000,9856000000000,10021000000000,25,12,100,400,9601,999736
10000000000000,9856000000000,10055000000000,25,12,100,400,9600,999937
10000000000000,9856000000000,10144000000000,25,12,100,400,9600,999937
10000000000000,9999000000000,10001000000000,50,12,100,400,103201,93021
10000000000000,9999000000000,10003000000000,50,12,100,400,52282,183617
10000000000000,9999000000000,10008000000000,50,12,100,400,25784,372303
10000000000000,9999000000000,10021000000000,50,12,100,400,17787,539694
10000000000000,9999000000000,10055000000000,50,12,100,400,17566,546479
10000000000000,9999000000000,10144000000000,50,12,100,400,17566,546479
10000000000000,9997000000000,10001000000000,50,12,100,400,52282,183617
10000000000000,9997000000000,10003000000000,50,12,100,400,35008,274214
10000000000000,9997000000000,10008000000000,50,12,100,400,20737,462899
10000000000000,9997000000000,10021000000000,50,12,100,400,15230,630291
10000000000000,9997000000000,10055000000000,50,12,100,400,15068,637075
10000000000000,9997000000000,10144000000000,50,12,100,400,15068,637075
10000000000000,9992000000000,10001000000000,50,12,100,400,25784,372303
10000000000000,9992000000000,10003000000000,50,12,100,400,20737,462899
10000000000000,9992000000000,10008000000000,50,12,100,400,14733,651585
10000000000000,9992000000000,10021000000000,50,12,100,400,11721,818976
10000000000000,9992000000000,10055000000000,50,12,100,400,11625,825761
10000000000000,9992000000000,10144000000000,50,12,100,400,11625,825761
10000000000000,9979000000000,10001000000000,50,12,100,400,17787,539694
10000000000000,9979000000000,10003000000000,50,12,100,400,15230,630291
10000000000000,9979000000000,10008000000000,50,12,100,400,11721,818976
10000000000000,9979000000000,10021000000000,50,12,100,400,9732,986368
